,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity,target
6,9.4,0.069,0.06,0.9964,7.9,15.0,3.3,5.0,1.6,0.46,59.0,0.6,0
9,10.5,0.071,0.36,0.9978,7.5,17.0,3.35,5.0,6.1,0.8,102.0,0.5,0
10,9.2,0.097,0.08,0.9959,6.7,15.0,3.28,5.0,1.8,0.54,65.0,0.58,0
11,10.5,0.071,0.36,0.9978,7.5,17.0,3.35,5.0,6.1,0.8,102.0,0.5,0
16,10.5,0.092,0.56,0.9969,8.5,35.0,3.3,7.0,1.8,0.75,103.0,0.28,0
18,9.0,0.086,0.08,0.9974,7.4,6.0,3.38,4.0,4.4,0.5,29.0,0.59,0
20,9.4,0.077,0.48,0.9968,8.9,29.0,3.39,6.0,1.8,0.53,60.0,0.22,0
21,9.7,0.082,0.31,0.9982,7.6,23.0,3.52,5.0,2.3,0.65,71.0,0.39,0
23,9.4,0.084,0.11,0.9968,8.5,9.0,3.17,5.0,2.3,0.53,67.0,0.49,0
24,9.7,0.085,0.14,0.9968,6.9,21.0,3.43,6.0,2.4,0.63,40.0,0.4,0
25,9.3,0.08,0.16,0.9955,6.3,11.0,3.34,5.0,1.4,0.56,23.0,0.39,0
26,9.5,0.08,0.24,0.9962,7.6,4.0,3.28,5.0,1.8,0.59,11.0,0.41,0
33,9.4,0.073,0.12,0.9993,6.9,40.0,3.45,6.0,10.7,0.52,83.0,0.605,0
34,9.2,0.103,0.25,0.9957,5.2,13.0,3.38,5.0,1.8,0.55,50.0,0.32,0
36,10.8,0.086,0.14,0.9975,7.8,3.0,3.42,6.0,2.4,0.6,15.0,0.6,0
37,9.7,0.066,0.28,0.9968,8.1,13.0,3.23,7.0,2.1,0.73,30.0,0.38,0
39,10.5,0.074,0.36,0.9978,7.3,12.0,3.33,5.0,5.9,0.83,87.0,0.45,0
40,10.5,0.074,0.36,0.9978,7.3,12.0,3.33,5.0,5.9,0.83,87.0,0.45,0
41,9.3,0.088,0.3,0.9976,8.8,17.0,3.26,4.0,2.8,0.51,46.0,0.61,0
48,9.2,0.066,0.23,0.9958,6.4,5.0,3.34,5.0,1.6,0.56,12.0,0.4,0
49,9.2,0.074,0.37,0.9954,5.6,12.0,3.32,5.0,1.4,0.58,96.0,0.31,0
51,9.4,0.069,0.04,0.9956,6.6,8.0,3.4,6.0,2.2,0.63,15.0,0.52,0
52,9.4,0.068,0.04,0.9955,6.6,6.0,3.39,6.0,2.1,0.64,14.0,0.5,0
53,9.4,0.081,0.36,0.997,8.6,30.0,3.2,5.0,3.0,0.56,119.0,0.38,0
55,9.5,0.084,0.04,0.9978,7.7,25.0,3.34,5.0,3.8,0.53,45.0,0.62,0
58,10.0,0.076,0.18,0.9975,7.8,17.0,3.43,5.0,2.3,0.59,54.0,0.59,0
59,9.4,0.074,0.31,0.9962,7.3,9.0,3.41,6.0,2.4,0.54,46.0,0.39,0
60,9.2,0.079,0.4,0.998,8.8,19.0,3.44,5.0,2.2,0.64,52.0,0.4,0
62,9.5,0.085,0.16,0.9968,7.5,12.0,3.38,7.0,1.9,0.62,35.0,0.52,0
66,9.6,0.079,0.11,0.9968,7.5,11.0,3.42,5.0,1.5,0.58,39.0,0.52,0
68,10.7,0.074,0.57,0.9969,9.3,27.0,3.28,5.0,2.0,0.79,65.0,0.32,0
70,9.5,0.076,0.08,0.9967,7.7,15.0,3.32,6.0,1.9,0.54,27.0,0.63,0
80,9.2,0.069,0.2,0.9958,6.2,3.0,3.41,5.0,1.6,0.56,15.0,0.45,0
82,9.1,0.086,0.47,0.997,7.4,21.0,3.36,5.0,2.0,0.57,73.0,0.5,0
84,10.3,0.069,0.48,0.9959,6.3,18.0,3.44,6.0,1.8,0.78,61.0,0.3,0
85,10.1,0.076,0.15,0.9961,6.9,19.0,3.41,5.0,2.2,0.59,40.0,0.55,0
87,9.6,0.062,0.26,0.9966,7.7,9.0,3.39,5.0,1.9,0.64,31.0,0.49,0
89,9.0,0.076,0.08,0.9978,7.0,8.0,3.48,5.0,1.8,0.53,24.0,0.62,0
90,9.5,0.079,0.26,0.9964,7.9,42.0,3.23,5.0,1.9,0.54,140.0,0.52,0
93,9.6,0.062,0.26,0.9966,7.7,9.0,3.39,5.0,1.9,0.64,31.0,0.49,0
97,9.2,0.07,0.25,0.9963,7.0,3.0,3.25,5.0,2.0,0.63,22.0,0.5,0
99,9.0,0.08,0.18,0.9972,8.1,13.0,3.3,6.0,1.9,0.59,35.0,0.545,0
100,10.2,0.084,0.3,0.9972,8.3,11.0,3.4,6.0,2.1,0.61,50.0,0.61,0
101,10.4,0.075,0.3,0.9959,7.8,8.0,3.31,6.0,1.9,0.56,22.0,0.5,0
102,9.0,0.08,0.18,0.9972,8.1,13.0,3.3,6.0,1.9,0.59,35.0,0.545,0
103,9.2,0.077,0.22,0.9967,8.1,12.0,3.29,5.0,2.1,0.51,65.0,0.575,0
104,9.4,0.07,0.24,0.996,7.2,5.0,3.33,5.0,2.2,0.48,36.0,0.49,0
105,9.2,0.077,0.22,0.9967,8.1,12.0,3.29,5.0,2.1,0.51,65.0,0.575,0
